,short_name,silhouette,davies_bouldin,calinski_harabasz,homogeneity
0,tabl__Agglo,0.3865681764612181,0.33151931333845874,12.238591892374368,0.015766280517239602
1,orig__Agglo,0.3074502437349236,0.8236972665811344,7.748861636627154,0.03510422518923032
2,tabl__Spect,0.26444907277255625,0.8055881646168431,22.193927105958526,0.04556051366272664
3,tens_CPco_Kmean,0.19191129220292047,1.5037478442646173,88.70510079045147,0.42421297123774954
4,tabl__Kmean,0.1896675694681219,1.27166578054505,115.04537808739069,0.14968530209826256
5,tens_CPco_Agglo,0.18944142882736334,1.609369022780399,77.56174433440978,0.3076556268051802
6,tens_CPf_Kmean,0.17822794620404453,1.4328334604724098,230.9642747468901,0.03841570267193927
7,tens_CPco_Gauss,0.1720516140439729,1.4976319173507506,82.82942720665906,0.42640002067031435
8,tens_CPf_Gauss,0.1698220464699735,1.5037760947106602,230.04556167820832,0.03470916684902597
9,tens_CPco_MiniB,0.16721775281202525,1.6570575675810104,85.8034849570315,0.40016813254089156
10,tabl__MiniB,0.1654147776367348,1.3707247471106363,105.90355957896656,0.14004906343519502
11,tabl__Gauss,0.16438417966552893,1.4896361996799572,96.13520579980631,0.1238244395740727
12,tens_CPf_MiniB,0.1605340787494625,1.6112138960360898,209.9647011333051,0.02671586563211683
13,tens_CPf_Agglo,0.15402310626644847,1.350503958906447,180.5228749647491,0.02905399778683891
14,tens_CPco_Spect,0.13631729335774626,1.7990954485992137,72.50198709178062,0.37269381954481196
15,tens_CPhf_Kmean,0.13491682990378048,1.7264047583163846,49.17298167529051,0.0677083867863006
16,tens_CPhf_Gauss,0.1329643751823221,1.7768871644646507,53.02404690828996,0.04422290490057229
17,tens_CPhf_MiniB,0.12276205192541988,1.8405746564669831,45.56893448467267,0.0569204671173282
18,tens_CPhf_Spect,0.11630770197390189,1.8354451753661205,41.99498945838584,0.05194696526400086
19,tens_TKco_Kmean,0.10883984835546709,2.0902680245999736,21.202794307825048,0.5005711143323275
20,tens_TKf_Kmean,0.1063478156494777,2.4219855067936424,15.580727521207365,0.06868442181698069
21,tens_TKco_MiniB,0.10188046773820948,2.2326414108734407,19.81698001597849,0.47815915243751966
22,tens_CPhf_Agglo,0.10026460150935529,2.003850410018151,47.713102453778504,0.04725793103276145
23,tens_TKco_Agglo,0.09753485839566878,2.2812749606067104,18.784116944039997,0.4210014297698381
24,tens_TKco_Spect,0.09692678895052174,2.2787551499241436,19.70809741135361,0.5097797260092327
25,tens_TKf_Gauss,0.095274196216326,2.5237709519918474,14.670861392108486,0.060236127169695425
26,tens_TKco_Gauss,0.09440799070840974,2.262625213088168,20.813086721763153,0.5136878471255486
27,tens_TKf_MiniB,0.09137277299133179,2.5820716660370167,14.29984363072698,0.05679640145579847
28,tens_TKf_Agglo,0.08523095063438008,2.6641628349788884,13.843738107181233,0.05873233533648476
29,tens_TKf_Spect,0.07843587090300212,2.6732445539510916,13.982158621250113,0.04480804880496549
30,tens_TKhf_Kmean,0.06829018560082793,2.60174316728336,14.72793929283593,0.043992545948141316
31,orig__MiniB,0.06528067026404391,2.466248990638765,20.273642836401354,0.2835213195911065
32,tens_TKhf_Gauss,0.06080731484958247,2.5788198507769553,13.082008006544733,0.058427376705649084
33,tens_TKhf_Spect,0.05801556645053407,2.6567064799757345,13.28056050525987,0.05152195503712885
34,tens_TKhf_MiniB,0.05243551538868129,2.7341233575877784,12.339633417709553,0.05816809066305463
35,tens_TKhf_Agglo,0.05073572342066862,2.8350003003295368,11.815633829996257,0.05897419244410742
36,tens_TKh_Kmean,0.048314796047773945,2.6355425633328857,12.188205567628556,0.06887084373634779
37,tens_CPh_Kmean,0.048314796047773945,2.6355425633328857,12.188205567628556,0.06887084373634779
38,orig__Kmean,0.04678684798949087,2.501733368804564,18.84242229941787,0.29322649335664897
39,tens_CPh_Gauss,0.0444883217295596,2.8809039173361572,12.143061643976344,0.05948600169558927
40,tens_TKh_Gauss,0.0444883217295596,2.8809039173361572,12.143061643976344,0.05948600169558927
41,tens_CPh_Spect,0.04366168200055947,2.744345495009251,11.531161749066346,0.06501560523049635
42,tens_TKh_Spect,0.04366168200055947,2.744345495009251,11.531161749066346,0.06501560523049635
43,tens_CPh_MiniB,0.04047769791805892,2.813310186996039,11.071189168810356,0.05789656330881876
44,tens_TKh_MiniB,0.04047769791805892,2.813310186996039,11.071189168810356,0.05789656330881876
45,orig__Spect,0.02987379678680959,2.6109002226033047,17.39529298996752,0.4277116363663315
46,orig__Gauss,0.026827697651120936,2.9660795686764754,17.854081606350597,0.34886129295938784
47,tens_TKh_Agglo,0.015462214872209364,3.3925586285014258,10.094373306874125,0.044810531508158565
48,tens_CPh_Agglo,0.015462214872209364,3.3925586285014258,10.094373306874125,0.044810531508158565
49,tens_CPf_Spect,-0.015821414013627706,1.1598629096407895,95.50716442078412,0.04126379633367582
50,orig__origi,-0.01804707906890588,3.745657091503891,11.14477123644387,1.0
51,orig__rando,-0.04420261942814645,10.247834292455229,0.9842941630446387,0.046253094914373925
